original_word,positive,neutral,negative
fits,0.48,0.47,0.05
it's,0.13,0.83,0.04
kids.,0.26,0.64,0.1
great.,1.0,0.0,0.0
classics,0.88,0.1,0.02
It's,0.13,0.83,0.04
deserves,0.9,0.07,0.03
cause,0.07,0.82,0.11
"adults,",0.07,0.9,0.03
film;,0.17,0.72,0.11
which,0.04,0.94,0.02
very,0.26,0.64,0.1
opinion,0.04,0.91,0.05
well-known,0.92,0.06,0.02
amusing,0.99,0.0,0.01
Bettany,0.13,0.81,0.06
follow,0.15,0.82,0.03
Jim,0.08,0.9,0.02
landing,0.07,0.89,0.04
magnificent,0.99,0.01,0.0
/>I,0.06,0.92,0.02
ones.But,0.05,0.93,0.02
screenwriter,0.13,0.81,0.06
suggest,0.04,0.94,0.02
too,0.02,0.09,0.89
prepared,0.38,0.55,0.07
Victoria,0.13,0.84,0.03
know,0.09,0.87,0.04
Albert,0.18,0.79,0.03
combination,0.13,0.83,0.04
whose,0.07,0.89,0.04
social,0.1,0.86,0.04
Queen,0.21,0.75,0.04
depiction,0.15,0.73,0.12
it.I,0.22,0.73,0.05
"good,",1.0,0.0,0.0
support,0.26,0.71,0.03
films,0.17,0.76,0.07
interesting,0.97,0.02,0.01
much.I,0.13,0.8,0.07
usually,0.03,0.93,0.04
excellent,1.0,0.0,0.0
way,0.09,0.86,0.05
evokes.The,0.3,0.63,0.07
"Girl),",0.21,0.72,0.07
view.And,0.42,0.54,0.04
used,0.09,0.36,0.55
screenplay.<br,0.02,0.96,0.02
simplification,0.13,0.81,0.06
romantic,0.98,0.01,0.01
unexpectedly,0.15,0.8,0.05
European,0.15,0.8,0.05
fascinating,0.99,0.01,0.0
Fair,0.51,0.45,0.04
economic,0.14,0.78,0.08
Fellowes,0.13,0.81,0.06
Other,0.05,0.91,0.04
bit,0.1,0.72,0.18
production,0.15,0.8,0.05
Emily,0.12,0.85,0.03
between,0.04,0.93,0.03
find,0.14,0.82,0.04
monarch,0.21,0.75,0.04
cinema,0.25,0.71,0.04
before,0.09,0.86,0.05
locations,0.11,0.86,0.03
key,0.14,0.83,0.03
work,0.47,0.44,0.09
surprise,0.29,0.64,0.07
era,0.22,0.72,0.06
accents,0.07,0.9,0.03
artistic,0.88,0.1,0.02
because,0.03,0.91,0.06
pretty,0.27,0.69,0.04
insipid,0.0,0.0,1.0
its,0.13,0.81,0.06
Young,0.22,0.71,0.07
"era""",0.22,0.72,0.06
"have.Fortunately,",0.05,0.43,0.52
enjoyed,1.0,0.0,0.0
equally,0.15,0.8,0.05
"civilization,",0.18,0.75,0.07
thick,0.08,0.86,0.06
political,0.14,0.74,0.12
"aspect,",0.12,0.84,0.04
Prince,0.2,0.75,0.05
cultural,0.31,0.63,0.06
Paul,0.13,0.84,0.03
recommendation,0.37,0.58,0.05
costumes,0.18,0.77,0.05
fall,0.06,0.78,0.16
Vanity,0.01,0.04,0.95
feels,0.24,0.58,0.18
inspired,0.89,0.09,0.02
"Broadbent,",0.13,0.81,0.06
enthusiastic,0.93,0.06,0.01
"scientific,",0.29,0.66,0.05
"situation,",0.05,0.8,0.15
(such,0.09,0.89,0.02
always,0.42,0.53,0.05
"design,",0.14,0.83,0.03
intentions.I,0.1,0.7,0.2
points,0.13,0.83,0.04
good,1.0,0.0,0.0
fail,0.0,0.0,1.0
distrust,0.0,0.01,0.99
British,0.07,0.89,0.04
something,0.1,0.83,0.07
intelligent,0.95,0.04,0.01
place,0.23,0.73,0.04
replacement,0.27,0.67,0.06
modern,0.92,0.07,0.01
emotions,0.23,0.65,0.12
hope,0.99,0.01,0.0
origins,0.11,0.86,0.03
"portrayed,",0.04,0.06,0.9
intellects,0.13,0.81,0.06
rich,0.98,0.01,0.01
did,0.1,0.69,0.21
"Blunt,",0.0,0.01,0.99
took,0.09,0.7,0.21
attention,0.23,0.65,0.12
humble,0.91,0.07,0.02
contemporary,0.42,0.54,0.04
Boleyn,0.19,0.77,0.04
romance,0.29,0.63,0.08
"""unexpectedly""",0.04,0.95,0.01
watching,0.42,0.52,0.06
pay,0.15,0.8,0.05
clichés,0.13,0.81,0.06
details.<br,0.01,0.99,0.0
value,0.78,0.13,0.09
opinion),0.04,0.91,0.05
Julian,0.09,0.88,0.03
example,0.07,0.9,0.03
"example,",0.07,0.9,0.03
"/>""Victorian",0.02,0.97,0.01
screenplays,0.13,0.81,0.06
ones,0.12,0.85,0.03
landscapes,0.27,0.68,0.05
events,0.17,0.79,0.04
decisions,0.13,0.8,0.07
honestly,0.06,0.87,0.07
"of,",0.12,0.82,0.06
"Pixar,",0.6,0.36,0.04
"upbringings,",0.13,0.81,0.06
TIMES,0.09,0.85,0.06
changes,0.18,0.77,0.05
write,0.17,0.71,0.12
Series',0.16,0.79,0.05
goodness,0.9,0.09,0.01
disappointed,0.0,0.0,1.0
together,0.16,0.8,0.04
greatness,0.93,0.06,0.01
produce.,0.39,0.54,0.07
come,0.13,0.81,0.06
reveal,0.09,0.87,0.04
remember,0.19,0.75,0.06
"them,",0.1,0.86,0.04
majestic,0.97,0.03,0.0
"together,",0.16,0.8,0.04
plan,0.25,0.71,0.04
favorably.,0.2,0.75,0.05
"Admittedly,",0.04,0.86,0.1
special,0.36,0.6,0.04
variety.,0.14,0.83,0.03
honest,0.97,0.02,0.01
word,0.09,0.84,0.07
able,0.33,0.62,0.05
anything,0.06,0.85,0.09
(there's,0.02,0.97,0.01
smile,0.97,0.02,0.01
"etc.,",0.02,0.96,0.02
cause.,0.07,0.82,0.11
came,0.16,0.7,0.14
"Jackson,",0.16,0.8,0.04
funnier,1.0,0.0,0.0
setting,0.13,0.83,0.04
tonight's,0.24,0.64,0.12
getting,0.19,0.7,0.11
we've,0.19,0.79,0.02
price,0.15,0.8,0.05
Lords,0.33,0.61,0.06
TEN,0.07,0.9,0.03
"prices,",0.15,0.8,0.05
attempted,0.03,0.29,0.68
"World,",0.16,0.8,0.04
Song,0.72,0.2,0.08
anymore,0.05,0.69,0.26
upon,0.08,0.87,0.05
jump,0.12,0.84,0.04
inspiration,0.7,0.27,0.03
"Tribute),",0.9,0.08,0.02
"disappointed,",0.0,0.0,1.0
another,0.11,0.83,0.06
blown,0.02,0.04,0.94
"Lee,",0.11,0.84,0.05
(which,0.03,0.96,0.01
appreciation,0.91,0.07,0.02
D's,0.04,0.92,0.04
guys',0.78,0.17,0.05
up,0.16,0.77,0.07
someone,0.09,0.87,0.04
IMDb,0.12,0.85,0.03
"to),",0.13,0.73,0.14
histories,0.15,0.79,0.06
"Sasquatch,",0.1,0.86,0.04
go,0.26,0.7,0.04
ticket,0.12,0.83,0.05
BETTER.,0.96,0.03,0.01
concerning,0.1,0.85,0.05
series,0.15,0.82,0.03
starring,0.11,0.84,0.05
hesitation,0.1,0.69,0.21
me,0.15,0.77,0.08
qualms,0.0,0.01,0.99
Rock,0.76,0.21,0.03
paying,0.09,0.5,0.41
D,0.07,0.9,0.03
In,0.09,0.87,0.04
going,0.15,0.78,0.07
true,0.13,0.81,0.06
"parking,",0.15,0.79,0.06
Tenacious,0.3,0.5,0.2
"Destiny,""",0.2,0.75,0.05
tonight,0.24,0.7,0.06
Dio.,0.35,0.58,0.07
sheer,0.05,0.91,0.04
felt,0.13,0.64,0.23
outrageous,0.01,0.01,0.98
Will,0.24,0.71,0.05
For,0.22,0.73,0.05
tells,0.18,0.61,0.21
different,0.06,0.86,0.08
"nationwide,",0.12,0.84,0.04
"Destiny""",0.2,0.75,0.05
due,0.06,0.87,0.07
witnessed,0.16,0.78,0.06
apprehensive,0.05,0.25,0.7
comedic,0.69,0.22,0.09
advance,0.17,0.77,0.06
"importantly,",0.49,0.46,0.05
intriguing,0.99,0.01,0.0
Pick,0.25,0.69,0.06
(for,0.07,0.91,0.02
Last,0.13,0.82,0.05
Greatest,0.98,0.02,0.0
(hence,0.03,0.96,0.01
Kage,0.14,0.82,0.04
onto,0.11,0.85,0.04
such,0.22,0.73,0.05
/>Simply,0.04,0.93,0.03
talent,0.91,0.07,0.02
screen).,0.05,0.89,0.06
"put,",0.15,0.79,0.06
rocks,0.81,0.15,0.04
harder,0.02,0.04,0.94
comings,0.12,0.81,0.07
week,0.06,0.89,0.05
fan,0.43,0.52,0.05
hassle,0.02,0.05,0.93
"screening,",0.12,0.82,0.06
concession,0.12,0.76,0.12
Jables',0.24,0.68,0.08
"""Borat""",0.03,0.96,0.01
After,0.1,0.81,0.09
version).,0.07,0.87,0.06
you've,0.07,0.91,0.02
sing,0.65,0.27,0.08
case.<br,0.0,1.0,0.0
loves,1.0,0.0,0.0
screening,0.12,0.82,0.06
Ferrell,0.11,0.86,0.03
had,0.19,0.68,0.13
HBO,0.13,0.84,0.03
"brilliance,",0.77,0.19,0.04
These,0.16,0.79,0.05
Most,0.1,0.86,0.04
rock,0.76,0.21,0.03
already,0.16,0.79,0.05
out.,0.07,0.83,0.1
releases,0.1,0.86,0.04
genius.<br,0.78,0.21,0.01
"go,",0.26,0.7,0.04
"""Tribute,""",0.66,0.33,0.01
we,0.1,0.87,0.03
supporting,0.45,0.51,0.04
"strong,",0.6,0.34,0.06
radiantly,0.84,0.15,0.01
/>Mark,0.02,0.98,0.0
set,0.18,0.78,0.04
theme,0.35,0.58,0.07
traditional,0.16,0.79,0.05
sensitive,0.11,0.76,0.13
communism,0.09,0.35,0.56
Score...,0.15,0.73,0.12
Costume,0.15,0.8,0.05
"afternoon,",0.2,0.74,0.06
relations...,0.1,0.84,0.06
undergoes,0.13,0.81,0.06
us,0.09,0.87,0.04
"Jones,",0.15,0.81,0.04
treasure,0.94,0.05,0.01
love...<br,1.0,0.0,0.0
Alfred,0.14,0.83,0.03
himself,0.46,0.45,0.09
spreads,0.08,0.75,0.17
difficulties,0.12,0.34,0.54
expressed,0.16,0.77,0.07
grace...<br,0.91,0.09,0.0
/>Their,0.04,0.94,0.02
established,0.22,0.74,0.04
Newman),0.07,0.91,0.02
She,0.24,0.69,0.07
left,0.15,0.8,0.05
many-splendored,0.04,0.93,0.03
charming,1.0,0.0,0.0
woman,0.17,0.74,0.09
scene,0.3,0.63,0.07
air,0.1,0.86,0.04
tenderness,0.38,0.55,0.07
role,0.16,0.8,0.04
"heightened,",0.13,0.81,0.06
tune,0.32,0.62,0.06
"look,",0.11,0.83,0.06
eight,0.04,0.94,0.02
charismatic,0.81,0.16,0.03
emotion,0.3,0.49,0.21
/>Her,0.08,0.9,0.02
beauty,0.97,0.02,0.01
troubled,0.0,0.0,1.0
King,0.43,0.53,0.04
Mark's,0.04,0.93,0.03
awakening...<br,0.01,0.98,0.01
dawn,0.17,0.79,0.04
harbor...,0.26,0.69,0.05
"colorful,",0.73,0.24,0.03
Suyin,0.13,0.81,0.06
arrives,0.21,0.68,0.11
"Suyin,",0.13,0.81,0.06
Academy,0.23,0.72,0.05
love...,1.0,0.0,0.0
war,0.0,0.01,0.99
<br,0.01,0.99,0.0
Cheongsam...,0.13,0.81,0.06
awesome,1.0,0.0,0.0
"Awards,",0.49,0.46,0.05
picture,0.12,0.8,0.08
"Elliott,",0.11,0.86,0.03
Asian-inspired,0.33,0.65,0.02
"enlightenment,",0.34,0.61,0.05
met...,0.93,0.05,0.02
cinematography,0.33,0.6,0.07
magnified...,0.13,0.81,0.06
"moment,",0.13,0.82,0.05
Kong,0.11,0.84,0.05
oriental,0.36,0.51,0.13
Han,0.33,0.56,0.11
giving,0.32,0.59,0.09
"hour,",0.04,0.93,0.03
Not,0.04,0.57,0.39
compassion,0.62,0.31,0.07
spiritual,0.33,0.62,0.05
/>It,0.21,0.75,0.04
missed,0.01,0.0,0.99
director,0.17,0.76,0.07
Jennifer,0.08,0.89,0.03
reduce,0.1,0.86,0.04
whispering:,0.11,0.83,0.06
masterful,0.13,0.81,0.06
Eurasian,0.07,0.9,0.03
attraction,0.28,0.65,0.07
role...,0.16,0.8,0.04
part...<br,0.01,0.99,0.0
exquisitely,0.13,0.81,0.06
motion,0.08,0.89,0.03
I...,0.08,0.89,0.03
characters...<br,0.01,0.98,0.01
floods,0.14,0.44,0.42
refuge,0.33,0.62,0.05
experience,0.33,0.62,0.05
Winner,0.86,0.13,0.01
hill,0.18,0.77,0.05
"elegant,",1.0,0.0,0.0
three:,0.05,0.93,0.02
married,0.37,0.57,0.06
our,0.38,0.57,0.05
must,0.83,0.13,0.04
American,0.15,0.8,0.05
insight...<br,0.05,0.94,0.01
race,0.17,0.79,0.04
romances,0.26,0.64,0.1
(by,0.02,0.97,0.01
"presence,",0.12,0.84,0.04
lives...<br,0.06,0.93,0.01
/>Henry,0.02,0.97,0.01
imposing,0.08,0.24,0.68
makes,0.31,0.59,0.1
"correspondent,",0.17,0.78,0.05
commence,0.28,0.67,0.05
own...,0.14,0.81,0.05
rest,0.1,0.84,0.06
war...,0.0,0.01,0.99
"thing.""<br",0.04,0.93,0.03
memories,0.65,0.3,0.05
performance,0.2,0.74,0.06
chemistry,0.19,0.77,0.04
"alive,",0.93,0.06,0.01
life,0.48,0.46,0.06
instant,0.36,0.6,0.04
/>Opposite,0.04,0.94,0.02
delivers,0.92,0.07,0.01
choice,0.27,0.68,0.05
above,0.15,0.8,0.05
"War,",0.0,0.01,0.99
/>Holden,0.02,0.97,0.01
/>Nominated,0.92,0.07,0.01
passionate,0.97,0.02,0.01
won,0.23,0.41,0.36
"status,",0.17,0.78,0.05
Jones,0.15,0.81,0.04
Korean,0.04,0.92,0.04
Elliot's,0.1,0.87,0.03
cosmopolitan,0.31,0.65,0.04
design...<br,0.01,0.99,0.0
highlights,0.33,0.61,0.06
"value,",0.78,0.13,0.09
He,0.36,0.54,0.1
heard,0.11,0.81,0.08
brings,0.67,0.29,0.04
sense,0.11,0.82,0.07
Design;,0.14,0.83,0.03
His,0.29,0.61,0.1
turning,0.09,0.83,0.08
We,0.1,0.87,0.03
every,0.53,0.42,0.05
captivated,0.97,0.02,0.01
completely,0.05,0.84,0.11
"affair,",0.03,0.13,0.84
deeply,0.21,0.56,0.23
heartfelt,0.97,0.02,0.01
leading,0.11,0.86,0.03
verdant,0.13,0.81,0.06
/>Han,0.04,0.94,0.02
doctor,0.22,0.71,0.07
main,0.09,0.86,0.05
she,0.24,0.69,0.07
Hong,0.09,0.89,0.02
extremely,0.16,0.67,0.17
****,0.06,0.91,0.03
seen!,0.09,0.84,0.07
Willis!.,0.15,0.82,0.03
nerves,0.12,0.78,0.1
natured,0.92,0.06,0.02
"Mortimer,",0.13,0.81,0.06
reasons,0.06,0.88,0.06
change,0.11,0.83,0.06
"do,",0.11,0.84,0.05
neat,1.0,0.0,0.0
waaaaaaaaaamabulance,0.13,0.81,0.06
much!,0.18,0.7,0.12
pf,0.14,0.81,0.05
here,0.11,0.85,0.04
Spencer,0.11,0.86,0.03
thought,0.15,0.48,0.37
plus,0.13,0.84,0.03
Smokes!).,0.49,0.39,0.12
film!,0.17,0.72,0.11
Mortimer,0.13,0.81,0.06
version,0.07,0.87,0.06
Amy,0.04,0.95,0.01
(Willis,0.05,0.94,0.01
"lines,",0.1,0.85,0.05
Bruce,0.11,0.86,0.03
cool!.,0.99,0.01,0.0
Turteltaub,0.13,0.81,0.06
"once,",0.15,0.8,0.05
"performances,",0.2,0.74,0.06
child,0.18,0.73,0.09
Jon,0.14,0.82,0.04
excellent!.,1.0,0.0,0.0
Overall,0.17,0.79,0.04
younger,0.2,0.72,0.08
this!.,0.14,0.81,0.05
great),1.0,0.0,0.0
heartwarming,0.99,0.01,0.0
Acting,0.2,0.51,0.29
5,0.08,0.89,0.03
Breslin,0.13,0.81,0.06
"opinion,",0.04,0.91,0.05
pace.,0.24,0.71,0.05
hilarious,0.99,0.01,0.0
Tomlin,0.14,0.82,0.04
"great,",1.0,0.0,0.0
underrated,0.88,0.04,0.08
much.,0.18,0.7,0.12
bit.,0.1,0.72,0.18
Rest,0.1,0.84,0.06
surprising,0.31,0.61,0.08
moments,0.28,0.67,0.05
see!.,0.09,0.85,0.06
cool,0.99,0.01,0.0
great!.,1.0,0.0,0.0
written,0.31,0.5,0.19
"Russell,",0.08,0.9,0.02
(Willis),0.05,0.94,0.01
Russell's,0.06,0.92,0.02
Willis,0.15,0.82,0.03
gives,0.39,0.48,0.13
didn't,0.02,0.06,0.92
finale,0.23,0.64,0.13
throughout.,0.17,0.79,0.04
(Holy,0.24,0.74,0.02
Lily,0.09,0.87,0.04
wonderful,1.0,0.0,0.0
Janet,0.2,0.77,0.03
ending,0.05,0.29,0.66
(The,0.07,0.91,0.02
"here,",0.11,0.85,0.04
"film,",0.17,0.72,0.11
camera,0.1,0.86,0.04
Rules!!!!!!!).,0.1,0.86,0.04
keeping,0.41,0.55,0.04
Bruce's,0.11,0.86,0.03
especially,0.15,0.79,0.06
throughout,0.17,0.79,0.04
dead,0.0,0.02,0.98
"work,",0.47,0.44,0.09
6.0,0.01,0.97,0.02
decent,0.77,0.12,0.11
Smart,0.97,0.03,0.0
Direction,0.1,0.86,0.04
Jean,0.06,0.92,0.02
there!.,0.09,0.87,0.04
fine.,0.95,0.03,0.02
/>As,0.14,0.83,0.03
dreamer,0.23,0.71,0.06
product,0.27,0.62,0.11
sex,0.18,0.68,0.14
/>The,0.07,0.91,0.02
"extraordinary,",0.87,0.11,0.02
Revere),0.42,0.52,0.06
lives,0.57,0.37,0.06
passion,0.96,0.03,0.01
spokeswoman,0.09,0.84,0.07
"Barnes,",0.05,0.93,0.02
closely,0.14,0.82,0.04
"""Lassie",0.09,0.89,0.02
passion.',0.97,0.02,0.01
"walks,",0.28,0.66,0.06
intensity,0.14,0.8,0.06
loving,1.0,0.0,0.0
butcher's,0.08,0.87,0.05
center,0.05,0.93,0.02
bygone,0.62,0.25,0.13
/>Following,0.06,0.92,0.02
charm,1.0,0.0,0.0
"hills,",0.17,0.79,0.04
Little,0.11,0.7,0.19
eleven,0.1,0.86,0.04
prize-winning,0.67,0.32,0.01
Elizabeth,0.11,0.86,0.03
"persistent,",0.08,0.57,0.35
"quiet,",0.34,0.6,0.06
"scenes,",0.22,0.71,0.07
named,0.42,0.52,0.06
Bagnold,0.13,0.81,0.06
Dedicated,0.44,0.53,0.03
live,0.51,0.44,0.05
"beaches,",0.14,0.83,0.03
thatched,0.13,0.81,0.06
courage,0.53,0.42,0.05
plain-folk,0.05,0.74,0.21
cozy,0.99,0.01,0.0
Mi,0.44,0.51,0.05
Enid,0.13,0.81,0.06
virtues,0.96,0.03,0.01
Taylor,0.13,0.84,0.03
Taylo,0.13,0.81,0.06
training,0.17,0.78,0.05
endurance<br,0.02,0.97,0.01
horse-trainer,0.02,0.97,0.01
common,0.06,0.88,0.06
Courage,0.53,0.42,0.05
"Tribune,",0.12,0.84,0.04
sober,0.84,0.14,0.02
"mother,",0.21,0.71,0.08
dedicates,0.13,0.81,0.06
vagabond,0.13,0.81,0.06
"dog-owner,",0.07,0.9,0.03
Kern,0.13,0.81,0.06
semi-hysterical,0.0,0.01,0.99
energy,0.31,0.64,0.05
lavishes,0.13,0.81,0.06
images,0.12,0.82,0.06
sermons,0.38,0.51,0.11
"mistress,",0.24,0.63,0.13
teenager,0.19,0.65,0.16
called,0.06,0.76,0.18
York,0.04,0.95,0.01
plains,0.15,0.82,0.03
horse,0.19,0.77,0.04
noble,0.85,0.09,0.06
female,0.03,0.94,0.03
saintly,0.13,0.81,0.06
/>Directed,0.03,0.95,0.02
bestseller,0.45,0.5,0.05
Mom,0.41,0.5,0.09
wisdom;,0.95,0.04,0.01
spurned,0.13,0.81,0.06
Herald,0.2,0.76,0.04
editor,0.12,0.81,0.07
"cottages,",0.13,0.83,0.04
fine,0.95,0.03,0.02
love:,1.0,0.0,0.0
movie-making,0.27,0.32,0.41
"Nevertheless,",0.11,0.83,0.06
(Anne,0.02,0.98,0.0
vignettes,0.13,0.81,0.06
/>Anne,0.02,0.98,0.0
Liz,0.08,0.9,0.02
Mrs.,0.08,0.9,0.02
structure,0.12,0.83,0.05
Awards,0.49,0.46,0.05
(Mickey,0.03,0.96,0.01
"daughter,",0.34,0.59,0.07
miles,0.08,0.88,0.04
devotes,0.45,0.48,0.07
riding,0.24,0.71,0.05
Come,0.13,0.81,0.06
portrait:,0.21,0.75,0.04
Hollywood,0.09,0.84,0.07
devotion,0.91,0.08,0.01
rolling,0.13,0.83,0.04
mature,0.41,0.54,0.05
object,0.2,0.7,0.1
teams,0.08,0.89,0.03
dream<br,0.23,0.76,0.01
"England,",0.08,0.89,0.03
enough,0.24,0.7,0.06
Browns,0.09,0.87,0.04
hidden,0.13,0.77,0.1
'lights,0.15,0.81,0.04
"Velvet""",0.07,0.91,0.02
"Home,""",0.32,0.63,0.05
coastal,0.15,0.8,0.05
Velvet,0.07,0.91,0.02
silence,0.02,0.21,0.77
remarkable,0.97,0.02,0.01
absorbed,0.16,0.73,0.11
"""National",0.02,0.97,0.01
"detail,",0.67,0.29,0.04
men<br,0.01,0.99,0.0
lacked,0.0,0.0,1.0
exemplary,0.99,0.01,0.0
"ethic,",0.83,0.12,0.05
"goddess,",0.4,0.56,0.04
Revere,0.42,0.52,0.06
"novel,",0.27,0.65,0.08
J.,0.18,0.77,0.05
/>Anticipating,0.16,0.8,0.04
rustic,0.44,0.35,0.21
integrity,0.41,0.51,0.08
girl,0.21,0.72,0.07
New,0.26,0.71,0.03
Howard,0.07,0.9,0.03
train,0.16,0.79,0.05
competition,0.17,0.76,0.07
balanced,0.79,0.19,0.02
years,0.17,0.79,0.04
"Sussex,",0.09,0.89,0.02
horse-crazy,0.01,0.01,0.98
spirit,0.15,0.8,0.05
Brown,0.03,0.93,0.04
"Brown,",0.03,0.93,0.04
"Velvet,""",0.07,0.91,0.02
receiving,0.14,0.77,0.09
she's,0.22,0.73,0.05
Rooney),0.09,0.86,0.05
turbulent,0.13,0.81,0.06
"Lassie,""",0.27,0.65,0.08
Ecstatic;,0.94,0.05,0.01
/>From,0.03,0.96,0.01
herself,0.23,0.67,0.1
Velvet's,0.02,0.95,0.03
life,0.48,0.46,0.06
wife,0.5,0.44,0.06
"play,",0.14,0.79,0.07
horses,0.18,0.78,0.04
later,0.1,0.81,0.09
extinct,0.21,0.65,0.14
"""Barbra",0.02,0.97,0.01
now.,0.19,0.76,0.05
irony.,0.02,0.02,0.96
"Specials"",",0.22,0.73,0.05
point,0.06,0.89,0.05
straight-ahead,0.07,0.91,0.02
Bergdorf,0.13,0.81,0.06
22,0.13,0.81,0.06
tickets,0.16,0.78,0.06
divided,0.03,0.84,0.13
creative,0.81,0.16,0.03
brief,0.07,0.85,0.08
diverse,0.74,0.24,0.02
"Istanbul,",0.11,0.86,0.03
handful,0.06,0.9,0.04
best-selling,1.0,0.0,0.0
succeeds,0.97,0.02,0.01
notoriety,0.13,0.81,0.06
"""Make",0.07,0.91,0.02
elaborate,0.12,0.75,0.13
location,0.21,0.74,0.05
Got,0.3,0.55,0.15
VHS.,0.03,0.95,0.02
Television,0.13,0.81,0.06
"Nuthin'""",0.31,0.49,0.2
produce,0.39,0.54,0.07
Opening,0.08,0.88,0.04
"black-and-white,",0.02,0.97,0.01
three,0.05,0.93,0.02
shows,0.19,0.71,0.1
Days,0.08,0.86,0.06
Plenty,0.44,0.52,0.04
separately,0.05,0.92,0.03
"Believe""",0.1,0.85,0.05
includes,0.07,0.91,0.02
Pearl,0.09,0.88,0.03
"set,",0.18,0.78,0.04
brilliantly,0.99,0.01,0.0
"Five"".",0.05,0.93,0.02
melancholic,0.32,0.22,0.46
broadcast,0.1,0.85,0.05
introduction,0.22,0.73,0.05
"investment,",0.26,0.68,0.06
component,0.08,0.89,0.03
Sun,0.09,0.88,0.03
"Girl""",0.21,0.72,0.07
use,0.25,0.69,0.06
costumed,0.13,0.81,0.06
That,0.06,0.92,0.02
moves,0.25,0.69,0.06
"fundraising,",0.2,0.76,0.04
distinct,0.07,0.89,0.04
dollars,0.07,0.84,0.09
Depression-era,0.04,0.91,0.05
transitional,0.13,0.81,0.06
hour-long,0.03,0.96,0.01
variety,0.14,0.83,0.03
Things,0.16,0.76,0.08
"medley,",0.17,0.8,0.03
"classic,",0.94,0.05,0.01
talk,0.08,0.87,0.05
"Out"",",0.07,0.83,0.1
"Free""",0.88,0.1,0.02
1986,0.08,0.89,0.03
long-term,0.01,0.98,0.01
eye-opener,0.82,0.17,0.01
Streisand,0.08,0.87,0.05
"Again""",0.27,0.65,0.08
box,0.08,0.88,0.04
Manhattan's,0.04,0.94,0.02
As,0.48,0.46,0.06
childhood,0.23,0.71,0.06
Back,0.14,0.8,0.06
outfits,0.19,0.77,0.04
growing,0.28,0.66,0.06
few,0.06,0.87,0.07
taped,0.06,0.79,0.15
revered,0.81,0.17,0.02
"Wonderland"",",0.21,0.75,0.04
ends,0.06,0.83,0.11
why,0.04,0.9,0.06
/>Filmed,0.03,0.94,0.03
Broadway,0.17,0.8,0.03
third,0.06,0.91,0.03
Signed,0.14,0.81,0.05
specials.,0.22,0.73,0.05
elegantly,0.96,0.03,0.01
"""Funny",1.0,0.0,0.0
included,0.11,0.85,0.04
legend.,0.5,0.46,0.04
April,0.03,0.95,0.02
credits.,0.23,0.71,0.06
"November,",0.08,0.89,0.03
parts.,0.08,0.87,0.05
"basics,",0.27,0.67,0.06
program,0.15,0.8,0.05
released,0.08,0.87,0.05
fork,0.07,0.88,0.05
Disney's,0.07,0.89,0.04
segment,0.08,0.88,0.04
Streisand:,0.08,0.87,0.05
limited,0.02,0.6,0.38
"""Alice",0.02,0.98,0.0
genuine,0.98,0.02,0.0
TV,0.11,0.86,0.03
"Late""",0.15,0.72,0.13
"""I've",0.06,0.93,0.01
crisp,0.7,0.28,0.02
"""I'm",0.07,0.92,0.01
second,0.07,0.89,0.04
Are,0.08,0.88,0.04
Comes,0.07,0.89,0.04
contract,0.08,0.82,0.1
offered,0.26,0.64,0.1
opens,0.06,0.86,0.08
numbers,0.08,0.88,0.04
pricey,0.0,0.01,0.99
glamorous,0.91,0.07,0.02
dazzling,0.98,0.02,0.0
format,0.06,0.91,0.03
"shows,",0.19,0.71,0.1
concert,0.62,0.33,0.05
1965.,0.05,0.93,0.02
"nowadays,",0.09,0.86,0.05
cleverly,0.98,0.01,0.01
bunch,0.07,0.79,0.14
appearances,0.14,0.8,0.06
Here,0.11,0.85,0.04
"career,",0.24,0.71,0.05
At,0.08,0.89,0.03
"Girl"".<br",0.01,0.98,0.01
CBS,0.06,0.92,0.02
Goodman's,0.04,0.93,0.03
specials,0.22,0.73,0.05
indeed,0.26,0.7,0.04
purest,0.99,0.01,0.0
"""Happy",0.89,0.11,0.0
Life,0.48,0.46,0.06
torchy,0.13,0.81,0.06
chic,0.95,0.04,0.01
"""When",0.06,0.91,0.03
monologue,0.08,0.33,0.59
disc,0.05,0.91,0.04
eager,0.94,0.04,0.02
comic,0.12,0.75,0.13
impress.,0.97,0.02,0.01
"albums,",0.51,0.45,0.04
Child,0.18,0.73,0.09
MoonChild,0.12,0.85,0.03
friendship,0.45,0.51,0.04
world,0.16,0.8,0.04
comment...<br,0.01,0.99,0.0
HYDE,0.13,0.84,0.03
vampire,0.15,0.77,0.08
8/10,0.04,0.94,0.02
"sometimes,I'm",0.02,0.95,0.03
characters.But,0.09,0.39,0.52
guaranteed,0.58,0.39,0.03
consider,0.08,0.88,0.04
lighting,0.21,0.75,0.04
note,0.04,0.93,0.03
useless,0.0,0.0,1.0
"sometimes,on",0.04,0.9,0.06
similarities,0.13,0.82,0.05
own.Only,0.01,0.97,0.02
"sometimes,as",0.08,0.78,0.14
"do,throughout",0.08,0.89,0.03
small,0.05,0.45,0.5
brother,0.22,0.71,0.07
"me,and",0.15,0.79,0.06
"it,especially",0.1,0.86,0.04
jewel,0.73,0.25,0.02
"acting,generally",0.06,0.61,0.33
all;this,0.17,0.78,0.05
"time,I",0.12,0.83,0.05
"aside,this",0.03,0.95,0.02
